"PC";"Variance";"Method"
"1";1;0.235237917970059;"linear"
"2";2;0.437186410999328;"linear"
"3";3;0.601505730928094;"linear"
"4";4;0.709442145913658;"linear"
"5";5;0.791403472475043;"linear"
"6";6;0.833031637362135;"linear"
"7";7;0.864574153112581;"linear"
"8";8;0.891243064526184;"linear"
"9";9;0.913924976288831;"linear"
"10";10;0.93299669791305;"linear"
"11";1;0.185708518498756;"polynomial"
"12";2;0.294733302652609;"polynomial"
"13";3;0.385061528874977;"polynomial"
"14";4;0.455659655443856;"polynomial"
"15";5;0.500618635631515;"polynomial"
"16";6;0.540745385742359;"polynomial"
"17";7;0.574664376738777;"polynomial"
"18";8;0.606281883568197;"polynomial"
"19";9;0.632590587571786;"polynomial"
"20";10;0.656130089084588;"polynomial"
